date,capital,trade_pnl,peak,drawdown,drawdown_pct
2024-03-12,57625.77945439805,827.6665444143009,58881.58002276895,-1255.800568370898,-2.132756233588317
2024-04-03,56686.90837836654,-938.8710760315092,58881.58002276895,-2194.671644402406,-3.7272635067770725
2024-05-07,54914.40171916053,-1772.506659206012,58881.58002276895,-3967.178303608416,-6.7375540908962455
2024-05-28,55011.590909715036,97.18919055450499,58881.58002276895,-3869.989113053911,-6.572495356879729
2024-07-18,55395.48307214918,383.8921624341481,58881.58002276895,-3486.0969506197653,-5.920522087334825
2024-07-29,55909.42082428375,513.9377521345682,58881.58002276895,-2972.1591984851984,-5.047689272835227
2024-08-05,54789.513320145095,-1119.9075041386527,58881.58002276895,-4092.0667026238516,-6.949655055182773
2024-09-17,54471.795876142314,-317.71744400278067,58881.58002276895,-4409.784146626633,-7.489242212796279
2024-10-08,52859.2751740261,-1612.5207021162146,58881.58002276895,-6022.304848742846,-10.227824807714192
2024-10-28,50788.88986407708,-2070.385309949022,58881.58002276895,-8092.690158691868,-13.7440098508948
2024-11-04,47918.89116899927,-2869.99869507781,58881.58002276895,-10962.68885376968,-18.61819748982706
2024-12-18,45313.96310712178,-2604.9280618774865,58881.58002276895,-13567.616915647166,-23.04220931299856
2025-01-06,47345.37707769607,2031.4139705742866,58881.58002276895,-11536.20294507288,-19.592210230452274
2025-01-28,49521.67812456849,2176.301046872427,58881.58002276895,-9359.901898200456,-15.896145950195411
2025-02-17,47484.16951421432,-2037.5086103541666,58881.58002276895,-11397.410508554625,-19.35649570569838
2025-02-27,45364.41967959171,-2119.749834622612,58881.58002276895,-13517.160343177238,-22.956517705452676
2025-03-20,46433.240429173515,1068.8207495818028,58881.58002276895,-12448.339593595432,-21.141313784008137
2025-06-24,47486.05581917011,1052.815389996598,58881.58002276895,-11395.524203598834,-19.353292148736994
2025-07-14,45444.47830836492,-2041.5775108051862,58881.58002276895,-13437.101714404023,-22.820552215494256
2025-07-18,43192.86506798929,-2251.6132403756346,58881.58002276895,-15688.714954779658,-26.6445210008172
2025-08-11,44484.73221241904,1291.867144429748,58881.58002276895,-14396.847810349907,-24.45051203582306
2025-09-03,45835.942869732244,1351.2106573132064,58881.58002276895,-13045.637153036703,-22.155718559169234
2025-09-23,46737.08404855519,901.1411788229452,58881.58002276895,-12144.495974213758,-20.62528887560014
2025-10-14,47850.31522171703,1113.2311731618404,58881.58002276895,-11031.264801051919,-18.734661666324566
2025-11-03,49989.495666550225,2139.180444833197,58881.58002276895,-8892.084356218722,-15.101640195083485
2025-11-25,52147.17875463632,2157.683088086094,58881.58002276895,-6734.401268132628,-11.43719524090301
2025-12-15,53309.347475039234,1162.1687204029172,58881.58002276895,-5572.232547729713,-9.463456221071146
2025-12-24,53959.060611805646,649.713136766411,58881.58002276895,-4922.519410963301,-8.360032813419425
2026-01-05,56388.590967151984,2429.530355346335,58881.58002276895,-2492.989055616963,-4.233903123273778
2026-01-14,54096.12798742604,-2292.462979725943,58881.58002276895,-4785.452035342903,-8.127248000974863
2026-01-27,52003.34491580997,-2092.7830716160724,58881.58002276895,-6878.235106958979,-11.681471700146686
2026-02-16,54196.28705606722,2192.9421402572575,58881.58002276895,-4685.292966701723,-7.9571454517524245
2026-02-25,52213.73149581791,-1982.555560249308,58881.58002276895,-6667.848526951035,-11.324167123865632
2026-06-03,49978.264040734786,-2235.467455083124,58881.58002276895,-8903.31598203416,-15.120715134667467
2026-06-23,51652.78201759584,1674.5179768610558,58881.58002276895,-7228.7980051731065,-12.276841080653405
2026-07-10,53905.59578972193,2252.8137721260864,58881.58002276895,-4975.98423304702,-8.450833403456318
2026-08-03,53838.913846692165,-66.68194302975962,58881.58002276895,-5042.666176076782,-8.564080947092165
2026-08-12,54810.4240490373,971.5102023451362,58881.58002276895,-4071.1559737316493,-6.914141862628978
