date,capital,trade_pnl,peak,drawdown,drawdown_pct
2024-11-25,43594.39699133903,1168.9575132606649,48806.53427816706,-5212.1372868280305,-10.679179261371175
2024-12-16,44466.88340474945,872.4864134104209,48806.53427816706,-4339.65087341761,-8.891536630493539
2025-01-02,44260.09307759006,-206.790327159392,48806.53427816706,-4546.441200576999,-9.31523056864701
2025-01-21,40198.11316071531,-4061.9799168747554,48806.53427816706,-8608.421117451755,-17.637845515498146
2025-02-03,40019.567574094304,-178.54558662100004,48806.53427816706,-8786.966704072758,-18.003668635827495
2025-02-20,40739.701058345316,720.1334842510107,48806.53427816706,-8066.833219821747,-16.528182832744868
2025-03-12,40610.17592027032,-129.52513807499457,48806.53427816706,-8196.358357896745,-16.793567662851395
2025-04-04,37435.47480246371,-3174.701117806607,48806.53427816706,-11371.059475703354,-23.29823177137583
2025-07-01,37622.809080873485,187.3342784097801,48806.53427816706,-11183.725197293577,-22.914401447874294
2025-07-17,38558.00398699386,935.1949061203811,48806.53427816706,-10248.5302911732,-20.99827501121656
2025-07-25,35564.145030370215,-2993.858956623648,48806.53427816706,-13242.389247796847,-27.13241053405558
2025-08-14,36316.33914261991,752.1941122496926,48806.53427816706,-12490.195135547154,-25.59123551850817
2025-09-08,37160.28804593452,843.9489033146074,48806.53427816706,-11646.246232232545,-23.862063562751953
2025-09-25,34005.863179901724,-3154.4248660327953,48806.53427816706,-14800.671098265339,-30.32518353774244
2025-10-17,33726.115073218476,-279.7481066832511,48806.53427816706,-15080.419204948586,-30.898361106731166
2025-11-10,34448.6708901043,722.5558168858256,48806.53427816706,-14357.86338806276,-29.417912171824817
2025-12-02,36580.72530170364,2132.0544115993416,48806.53427816706,-12225.80897646342,-25.049533135837653
2025-12-18,37056.2158714263,475.4905697226562,48806.53427816706,-11750.318406740764,-24.075297663569422
2025-12-29,37633.58564547102,577.3697740447261,48806.53427816706,-11172.94863269604,-22.892321280214535
2026-01-07,37378.75458951903,-254.83105595199405,48806.53427816706,-11427.779688648036,-23.41444615492827
2026-01-20,35266.29473707772,-2112.4598524413086,48806.53427816706,-13540.239541089344,-27.742677781459246
2026-01-29,36305.652913917846,1039.3581768401248,48806.53427816706,-12500.881364249217,-25.61313059641138
2026-02-19,37553.72962500268,1248.0767110848346,48806.53427816706,-11252.804653164385,-23.05593875818012
2026-02-27,32805.059869499935,-4748.66975550274,48806.53427816706,-16001.474408667127,-32.7855166225666
2026-05-19,34077.346830854425,1272.2869613544888,48806.53427816706,-14729.187447312637,-30.178720257753554
2026-06-05,34061.57095130634,-15.775879548085925,48806.53427816706,-14744.963326860721,-30.211043551716966
2026-06-29,34527.26435505174,465.69340374540076,48806.53427816706,-14279.269923115324,-29.256881551417514
2026-07-20,36387.10701059611,1859.8426555443766,48806.53427816706,-12419.42726757095,-25.446238810541015
2026-08-10,36216.558695651845,-170.54831494426708,48806.53427816706,-12589.975582515217,-25.7956762730993
2026-08-18,32920.29255810065,-3296.2661375511984,48806.53427816706,-15886.241720066413,-32.549415677672705
2022-11-17,32764.51065004696,-155.7819080536916,48806.53427816706,-16042.023628120103,-32.86859816083332
2022-11-29,32985.830883180424,221.32023313346536,48806.53427816706,-15820.703394986638,-32.41513381142453
2022-12-15,33841.716605497684,855.8857223172596,48806.53427816706,-14964.817672669378,-30.66150443581831
2023-05-16,33227.767610746174,-613.9489947515136,48806.53427816706,-15578.766667420889,-31.919428203263834
2023-05-31,33727.08617036926,499.3185596230825,48806.53427816706,-15079.448107797805,-30.896371419970688
2023-06-12,33930.63427635155,203.54810598229477,48806.53427816706,-14875.900001815513,-30.479320488179066
2023-07-05,33982.91951035359,52.285234002038976,48806.53427816706,-14823.614767813473,-30.37219295950832
2023-07-24,33873.896280235014,-109.02323011857774,48806.53427816706,-14932.637997932048,-30.59557130777868
2023-08-10,34549.0325959705,675.1363157354863,48806.53427816706,-14257.501682196562,-29.21228047240072
2023-08-31,32660.77134201126,-1888.2612539592405,48806.53427816706,-16145.762936155803,-33.081150249544336
2023-09-12,32562.59463528419,-98.17670672707138,48806.53427816706,-16243.939642882873,-33.282305091163536
2023-10-03,32961.59350694348,398.9988716592899,48806.53427816706,-15844.940771223584,-32.46479391656293
2023-10-13,33731.374844477985,769.7813375345061,48806.53427816706,-15075.159433689078,-30.887584329938267
2023-10-23,31397.874166978592,-2333.5006774993926,48806.53427816706,-17408.66011118847,-35.668707825001206
2023-11-02,31897.956223158613,500.08205618002137,48806.53427816706,-16908.57805500845,-34.644086709045986
2023-11-13,32382.55836577947,484.60214262085884,48806.53427816706,-16423.975912387592,-33.651182480569275
2023-11-22,32376.512731457005,-6.045634322463229,48806.53427816706,-16430.021546710057,-33.6635694168922
2024-01-17,32140.516185751017,-235.99654570598972,48806.53427816706,-16666.018092416045,-34.14710415091153
2024-02-26,32671.926551211858,531.4103654608389,48806.53427816706,-16134.607726955204,-33.05829427469264
2024-03-18,33217.83545991425,545.9089087023921,48806.53427816706,-15588.698818252815,-31.9397782465087
2024-04-19,34021.92850402431,804.0930441100638,48806.53427816706,-14784.60577414275,-30.292267199059125
2024-05-09,31052.208784098806,-2969.719719925507,48806.53427816706,-17754.325494068256,-36.376943695447785
2024-05-31,31671.75572710161,619.5469430028036,48806.53427816706,-17134.778551065454,-35.10755025834822
2024-07-11,32313.00773058533,641.252003483721,48806.53427816706,-16493.526547581732,-33.793685193008855
2024-08-05,30331.02442903507,-1981.9833015502602,48806.53427816706,-18475.50984913199,-37.854582634023984
2024-08-23,30812.508548606795,481.48411957172215,48806.53427816706,-17994.025729560268,-36.86806694162189
2024-09-11,30661.357980175893,-151.15056843090088,48806.53427816706,-18145.17629799117,-37.1777602453288
2024-09-24,30621.08477870151,-40.27320147438445,48806.53427816706,-18185.449499465554,-37.260276248708294
2025-02-20,31308.727892335082,687.6431136335759,48806.53427816706,-17497.80638583198,-35.85136016031235
2025-03-17,31767.84944713639,459.1215548013049,48806.53427816706,-17038.684831030674,-34.91066326062143
2025-06-19,32066.00996113222,298.16051399582904,48806.53427816706,-16740.524317034844,-34.299760400163244
2025-07-02,34011.32869979606,1945.3187386638388,48806.53427816706,-14795.205578371002,-30.313985201341033
2025-07-18,32107.57271821045,-1903.755981585611,48806.53427816706,-16698.961559956613,-34.214602218594045
2025-08-07,32560.85334253387,453.2806243234194,48806.53427816706,-16245.680935633194,-33.28587283629454
2025-08-20,32885.054242582795,324.2009000489264,48806.53427816706,-15921.480035584267,-32.62161567310164
2025-08-26,30984.770208778773,-1900.2840338040237,48806.53427816706,-17821.76406938829,-36.515118995778835
2025-09-22,31945.414524230848,960.6443154520732,48806.53427816706,-16861.119753936215,-34.546849112125564
2025-09-26,30018.48282672411,-1926.931697506737,48806.53427816706,-18788.051451442952,-38.49495099234598
2025-10-08,30479.847300884554,461.36447416044547,48806.53427816706,-18326.68697728251,-37.54965856176496
2025-10-23,30388.251064022064,-91.59623686249006,48806.53427816706,-18418.283214144998,-37.737330639320085
2025-11-20,30822.760660278724,434.5095962566576,48806.53427816706,-17983.77361788834,-36.847061328698224
2025-12-02,31434.51770264369,611.7570423649653,48806.53427816706,-17372.016575523372,-35.59362866560781
2025-12-22,31928.23586697773,493.7181643340398,48806.53427816706,-16878.29841118933,-34.58204656571898
2026-01-08,32240.8856331035,312.64976612576845,48806.53427816706,-16565.648645063564,-33.94145658990989
2026-02-02,30154.98642142497,-2085.8992116785303,48806.53427816706,-18651.547856742094,-38.21526796071978
2021-10-28,28804.47284255914,-1350.513578865828,48806.53427816706,-20002.061435607924,-40.98234331003415
2021-11-11,29367.46731451432,562.994471955181,48806.53427816706,-19439.066963652742,-39.82882056911085
2021-11-22,27522.678784424228,-1844.7885300900912,48806.53427816706,-21283.855493742834,-43.60861882230363
2022-08-25,27790.491131777722,267.81234735349585,48806.53427816706,-21016.04314638934,-43.05989650199478
2022-11-17,28025.678691507674,235.18755972995166,48806.53427816706,-20780.85558665939,-42.57801930418039
2022-11-30,27807.136823712037,-218.54186779563577,48806.53427816706,-20999.397454455026,-43.02579104423077
2022-12-15,26703.399248913494,-1103.7375747985438,48806.53427816706,-22103.135029253568,-45.287245562816175
2023-01-04,27183.690905021635,480.2916561081395,48806.53427816706,-21622.843373145428,-44.30317311593688
2023-01-17,27891.519165704325,707.8282606826906,48806.53427816706,-20915.015112462737,-42.85289955902233
2023-02-07,28568.81968072108,677.300515016754,48806.53427816706,-20237.71459744598,-41.46517448279266
2023-02-22,26860.472801487453,-1708.346879233627,48806.53427816706,-21946.06147667961,-44.96541662147251
