index,entry_date,exit_date,strike,entry_spot,exit_spot,entry_vix,exit_vix,weekly_premium,monthly_premium,net_debit,lots,total_cost,pnl,pnl_pct,exit_reason,days_held,capital_after,year
NIFTY,2024-03-13,2024-03-20,22000,21997.69921875,21839.099609375,11.032376940867358,11.623899759873948,134.43394103114065,278.3046981367534,143.87075710561277,1,7193.537855280639,2335.6210456284175,32.4683221610335,TARGET,5,46242.236321813376,2024
NIFTY,2024-04-16,2024-04-24,22150,22147.900390625,22402.400390625,9.894564936632786,9.500115363331785,121.39249671948244,251.30634344608362,129.91384672660118,1,6495.692336330059,-503.95617930009706,-7.758313559302943,EXPIRY,5,45738.28014251328,2024
NIFTY,2024-05-08,2024-05-15,22300,22302.5,22200.55078125,10.314361842237837,10.297437786242705,127.42612900051836,263.79714895072107,136.3710199502027,1,6818.550997510136,1762.9036109109365,25.85451970007526,EXPIRY,5,47501.183753424215,2024
NIFTY,2024-05-29,2024-06-04,22700,22704.69921875,21884.5,10.569261982208108,26.811032612230555,132.92999702194388,275.1912382449756,142.2612412230317,1,7113.062061151585,3227.468374547253,45.37382560141384,TARGET,4,50728.652127971465,2024
NIFTY,2024-07-09,2024-07-12,24450,24433.19921875,24502.150390625,5.030973562616437,5.956656194349553,68.09182123910686,140.9634621300116,72.87164089090474,2,7287.164089090475,2479.5343155844207,34.02605300594921,TARGET,3,53208.18644355589,2024
NIFTY,2024-07-30,2024-08-05,24850,24857.30078125,24055.599609375,9.012149390455374,14.002497020386754,124.09232705021003,256.8955232279926,132.80319617778258,1,6640.159808889129,-703.8805496306722,-10.600355562051277,VIX_SPIKE,4,52504.305893925215,2024
NIFTY,2024-09-09,2024-09-16,24950,24936.400390625,25383.75,8.976682020682642,9.181597446040628,123.99728702224562,256.69877167782107,132.70148465557546,1,6635.074232778773,-73.57206335974666,-1.1088355725740635,EXPIRY,5,52430.73383056547,2024
NIFTY,2024-09-18,2024-09-25,25400,25377.55078125,26004.150390625,9.134330641881705,10.205299735906364,128.40709255484504,265.82793644215377,137.42084388730873,1,6871.042194365436,600.283707123451,8.736428770816028,EXPIRY,5,53031.017537688924,2024
NIFTY,2024-10-09,2024-10-16,25000,24981.94921875,24971.30078125,14.587384933232586,12.977360074399213,201.86747166649997,417.90536924571046,216.0378975792105,1,10801.894878960524,1362.6398996528408,12.614822815087132,EXPIRY,5,54393.65743734177,2024
NIFTY,2024-10-29,2024-10-31,24450,24466.849609375,24205.349609375,11.70081651093514,9.582949173075948,158.58306249274912,328.2981291638473,169.71506667109819,1,8485.753333554909,-4776.067676863522,-56.283366828230676,STOP_LOSS,2,49617.589760478244,2024
